word	start_time	end_time
longer	505.16	505.46
exists.	505.50	505.98
so	507.23	507.35
the	507.40	507.49
next	507.55	507.73
time	507.76	507.94
your	507.99	508.12
hand	508.14	508.37
reaches	508.44	508.79
for	508.82	508.97
something	509.03	509.37
sweet	509.43	509.71
on	509.77	509.85
a	509.87	509.91
hard	509.95	510.17
day,	510.21	510.43
you	510.77	510.85
will	510.89	511.03
know	511.05	511.21
what	511.25	511.37
is	511.43	511.51
actually	511.61	511.93
happening.	511.99	512.39
it	513.41	513.47
is	513.53	513.61
not	513.67	513.83
weakness	513.91	514.31
reaching	514.39	514.71
for	514.75	514.87
the	514.89	514.97
chocolate	515.03	515.39
bar.	515.41	515.67
it	516.73	516.81
is	516.87	516.95
200,000	517.01	517.93
years	517.97	518.21
of	518.27	518.33
survival,	518.39	518.87
mistaking	519.19	519.67
a	519.73	519.75
fluorescent	519.79	520.29
hallway	520.33	520.67
for	520.71	520.81
the	520.85	520.93
last	520.97	521.23
safe	521.29	521.55
branch	521.61	521.93
before	521.99	522.31
winter.	522.37	522.65
tonight,	523.67	524.07
when	524.31	524.43
the	524.45	524.53
sadness	524.59	525.03
comes	525.09	525.33
in	525.39	525.45
your	525.47	525.61
hand	525.65	525.91
moves	525.95	526.25
toward	526.29	526.53
the	526.57	526.65
cabinet	526.67	527.09
without	527.13	527.41
asking	527.55	527.83
permission,	527.87	528.33
you	528.63	528.71
will	528.75	528.91
feel	528.93	529.13
it	529.17	529.23
again.	529.29	529.57
that	529.97	530.15
old,	530.27	530.45
worthless	530.79	531.17
urgency,	531.23	531.69
still	532.12	532.34
convinced	532.39	532.82
that	532.86	533.00
this	533.01	533.18
sweetness	533.26	533.68
might	533.76	533.94
be	533.98	534.10
the	534.14	534.22
last	534.26	534.52
one	534.64	534.74
before	534.80	535.10
the	535.16	535.24
season	535.30	535.66
ends.	535.76	535.98
